,S&P 500 vs FTSE 100,S&P 500 vs Nikkei 225,S&P 500 vs Hang Seng,S&P 500 vs NIFTY 50
1999-06-30,0.7327701620630178,3.191074809148116,1.9193792895779134,1.0171033179281042
1999-07-31,0.5131701257073545,3.013271062221877,1.8229550564582475,0.6583964541859235
1999-08-31,0.48285183983404756,3.0053441682026354,1.806789325427649,0.42825140291502184
1999-09-30,0.5462894142431729,3.2548215275364596,1.7980810734660735,0.4631564979207919
1999-10-31,0.3492743869905307,3.2541806735090035,1.9375328918595447,0.2516548571600997
1999-11-30,-0.2036755470575663,2.8790351610979785,1.3187867264521564,0.31061218839164617
1999-12-31,-0.15416845025024162,3.0869659228300663,1.2824168781297467,0.5248002567046949
2000-01-31,0.4505669870507767,3.5870326271095836,1.60451759270174,0.43619205748094
2000-02-29,0.10481567285349491,3.155238442061829,1.4958374599007285,-0.05728261162565315
2000-03-31,-0.412268429946111,3.046521325144709,1.7298108795301665,0.10666786468708214
2000-04-30,-0.38276435283590704,3.103558240590043,1.6550592659856784,-0.08448660309210637
2000-05-31,0.09794942330290102,3.1729001907201777,1.5139960899816785,-0.0033384465837904727
2000-06-30,0.607140399471312,3.075509914802917,1.5414918316695752,-0.07120834575048356
2000-07-31,0.8821477146741336,3.1297862126742375,1.9255711949445558,-0.24792730455313222
2000-08-31,1.004415403176448,3.1417795048773565,2.264455943346258,-0.31734400840861765
2000-09-30,1.222835249038473,3.184265474339071,2.523923199349726,-0.05076781973828836
2000-10-31,1.9379717777196437,2.897551910569529,2.239409148408372,0.15494667459537964
2000-11-30,0.8813273469510996,2.894890328133663,1.9930307781115348,-0.09858532091439631
2000-12-31,0.9102150800353315,2.8885175354789543,2.22260927140254,-0.10705652324084548
2001-01-31,1.0148947690822419,2.900866402721823,2.2272843785228478,-0.0850613257281092
2001-02-28,1.1751915438673433,3.258624309200067,2.686726475891135,-0.06408810437194658
2001-03-31,1.2614280454985582,4.0735648304486896,1.6773252993317278,1.849739778967474
2001-04-30,1.3121083142331014,4.602513609013853,2.18981156504042,1.7724236194336342
2001-05-31,1.2559130785207873,4.564776847601849,2.1217204801522533,1.886347639201194
2001-06-30,1.3154790184225884,4.614059061555831,2.1927997713912575,2.0523361461948637
2001-07-31,1.1667972896283352,4.303534518094733,1.9350675408917355,2.2457809168787266
2001-08-31,1.4320972696572398,4.579889794337282,1.853564661657603,2.496385850218375
2001-09-30,1.3267920632324237,4.529160339944219,1.84900816843242,4.350098450606493
2001-10-31,1.0535106881069511,4.304493078155948,1.873158176180831,3.491801502569015
2001-11-30,1.3540545244457136,4.353340302833246,1.7383474709451647,4.009108081752547
2001-12-31,1.3456305370879829,4.352861395915773,1.7349655238517863,3.9180517767136998
2002-01-31,1.37999702959401,4.360502723934967,1.742546774295159,3.9707849627902547
2002-02-28,1.193366618779862,4.217209508369335,1.6180734425730314,3.437206614073641
2002-03-31,1.1686031474249015,4.289863226273857,1.6657648488993704,3.48358913483737
2002-04-30,0.2191702946915175,3.5177252759099,1.329485660665286,3.4024920768302347
2002-05-31,0.21577607654876263,3.695181350371726,1.2967708413739842,3.882138841876103
2002-06-30,0.19322128162619912,3.8240649901066153,1.6261019954310507,3.821241721346172
2002-07-31,0.36998033867032265,3.8165908397872568,2.1655895335631308,4.948847647081789
2002-08-31,0.3587544544772503,3.830582018177732,2.2251852100017233,4.422116567304392
2002-09-30,0.6393138976364232,4.248479373110177,2.2071268053932473,4.778370990468065
2002-10-31,1.0697899453053716,3.9802001729818,2.2313729432699105,4.4768216595596595
2002-11-30,1.3444688919752368,4.2038035372077776,1.9800189370540537,5.323142639777405
2002-12-31,1.2671316283965561,4.264194969380644,2.0025085724918346,5.614829610624992
2003-01-31,1.8759469418745567,4.284832919261632,2.078994620738159,5.831225229923508
2003-02-28,1.7196890191628345,3.9674666727700663,2.073017886090964,5.438563769935271
2003-03-31,1.5005523523245579,3.6934570819380825,1.730558378734412,5.051071662569247
2003-04-30,1.659703522631245,3.5426513752313356,1.7628358502439545,4.625052430355091
2003-05-31,1.89697750721331,3.7190525545298296,1.4920704947172903,5.311249818129498
2003-06-30,2.0839119269099484,3.728709140333904,1.7514304709262796,5.383751298719578
2003-07-31,1.8259208532507343,3.5331087782503783,1.5347182558632015,5.280626495211121
2003-08-31,2.0338313856002657,3.1493423504906137,1.1285791167445853,4.833744820212
2003-09-30,2.0400572120889637,3.153578012945947,1.140650607950791,4.796287338519399
2003-10-31,1.979783117076589,3.143265509097122,0.9746155698324127,4.654901356955165
2003-11-30,2.0648507593919394,3.10150133869152,0.994971912406098,4.733188539017586
2003-12-31,2.1802325326496117,3.10787189145051,1.4770547435555004,4.6848620669433565
2004-01-31,2.275142667546104,3.136698043741526,1.5387744448484286,4.479720470577297
2004-02-29,2.1423078218770097,3.1128019953079304,1.4796599593397353,4.563703226520215
2004-03-31,2.0741887896647713,3.7166693568897,2.1337618716801816,4.765651044887188
2004-04-30,2.4475931384065284,3.591297536997558,2.646688100957115,4.682445131480365
2004-05-31,2.1358845096683234,3.3706490344772173,3.0889317521251236,3.982789214315923
2004-06-30,2.189957954464133,3.3861365473894636,3.084312487931573,4.031215766263238
2004-07-31,2.06772895637049,3.6111412609014364,3.0012619678388615,3.8412179499376564
2004-08-31,1.9505020077639323,3.6722693880144557,2.989766417444259,3.8027808822564597
2004-09-30,1.9296621542268688,3.7990611310908196,2.914721164783357,3.773644403116229
2004-10-31,1.9579230585706597,3.79053381345692,2.9734927567676097,3.789350005353927
2004-11-30,2.186480635435889,3.869415087315592,2.8758978462626623,4.012454486690763
2004-12-31,2.166119146906259,4.101181815950635,3.1978749522102308,4.138869496357313
2005-01-31,2.555480069123411,4.015431141488696,3.2538453850533164,4.155630154599819
2005-02-28,2.3566973517394842,3.8395782099948814,3.099156368468195,4.083437904922128
2005-03-31,2.4099671417359247,3.8983083244112,3.064826996297565,4.127767389516358
2005-04-30,2.3604311858695217,4.026541932778141,3.794683120648881,4.221621819565568
2005-05-31,2.2654169704068803,3.897994408228002,4.130846782431438,3.922330834050087
2005-06-30,1.8678161649394232,3.6483158832194604,3.8344642695873956,3.7764815825797258
2005-07-31,1.7866956023462388,3.7177479643341393,3.746527939741051,3.914485793844608
2005-08-31,1.5888167409478737,3.607168934122171,3.6239051796414707,3.855971983226384
2005-09-30,0.6173672605697234,2.5997767460459342,3.036761913847952,3.1982488867035674
2005-10-31,0.22817854524952996,2.754213587773295,2.6147441053295,3.0054220795735667
2005-11-30,0.8048461292686215,2.3409662105510973,2.7360449486883875,2.4166344610948194
2005-12-31,0.4866600894857298,2.048816945182197,3.083439512941297,2.2784013144167883
2006-01-31,0.4050614695001231,2.192288115734484,2.893426965460846,2.4001108682005694
2006-02-28,0.4632500495209746,2.212382720244521,2.929898905577419,2.4067948757747795
2006-03-31,0.2063099330323115,1.9480025136132313,3.377091311694411,2.1411023693674065
2006-04-30,0.20243916703827636,2.0538770118920815,3.404404572734604,2.240296106626252
2006-05-31,-0.3383312659357207,1.8215677882406163,3.184612660301636,1.7868635041002237
2006-06-30,-0.7331500698938898,1.692242221021964,2.847328675159713,1.69899201292881
2006-07-31,-0.8090716978895768,1.6678856817985337,2.8751949708058695,1.6729413491291782
2006-08-31,-0.2642893587888523,1.64575921856744,2.8679637193067986,1.6487492912387756
2006-09-30,-0.4308910032272656,1.629183336107498,2.784871595208718,1.6927990267792168
2006-10-31,-0.43274782222388897,1.715695223635226,2.7413199927356664,1.80953576404477
2006-11-30,-0.08288450443970363,1.692886773499966,2.8086464445672004,1.89001195424148
2006-12-31,-0.3019078953055032,1.7289142459705906,2.545771733793392,2.1808374042007332
2007-01-31,-0.3033167266017822,1.7175652306265041,2.5088254909424346,2.1691142876258964
2007-02-28,0.0031414275797919666,2.028192220197167,2.4934518489295456,2.376981605444381
2007-03-31,0.18960445450427466,2.163609789080419,2.4649389866935154,2.3780865440897747
2007-04-30,0.13440776341991367,2.160464848460046,2.4753213829421252,2.412406107646846
2007-05-31,0.04466412530018948,2.255535327109591,2.6488158139957916,2.504696311235803
2007-06-30,-0.4774864082651903,1.9228786364719572,2.6666985433027453,2.1071554004668216
2007-07-31,-0.723678760754376,2.2415927724987057,3.323472910333564,2.0594266127908294
2007-08-31,-0.8974440138811379,2.1702512528833484,3.399281233146852,2.007586878301573
2007-09-30,-0.649154304244326,2.3278760569264936,3.094231421350209,1.8182334495058101
2007-10-31,-1.8866564897527556,2.6357631528823475,1.5631484827767828,1.1597204443595965
2007-11-30,-1.3484305457324652,2.7418084644356466,1.8640602639269392,1.4244130491403162
2007-12-31,-1.3999559273244477,2.955545101212577,2.2343599609333076,1.8405801270602873
2008-01-31,-2.069996626584239,2.0831159673503823,1.0479535357499292,1.2897667640485444
2008-02-29,-3.493216575116534,1.3630389780103696,0.18288230373901815,0.9336870608326386
2008-03-31,-3.93389503393706,0.9162198680874798,-0.27578315201428893,0.5759462240705546
2008-04-30,-3.9858928669709885,0.38308411943619447,-0.47213706967234315,0.5477310122359386
2008-05-31,-4.146464984108478,0.9032791081839214,-0.4445272750731366,0.6194509028286708
2008-06-30,-3.160218828655062,1.4722318843870708,0.0625866073373893,0.6374976205410471
2008-07-31,-2.2352883320593655,1.4919158407902837,0.09349013664807782,0.977538250239872
2008-08-31,-1.4010558803225992,1.4293606399599312,0.8702401453817066,0.8975158826886653
2008-09-30,-1.1221596516667791,0.9828557147147698,0.7317634977828363,2.023464149436549
2008-10-31,0.6640150620271484,0.9324357498560976,0.571892046427952,2.014814690276387
2008-11-30,-0.34732784472798206,0.24129628141413284,-0.4414465034560694,1.0880709449013732
2008-12-31,-0.5139966684781783,0.019359955734243872,-0.5434697413134015,0.8738420518585421
2009-01-31,-0.5622046033178646,-0.028746141413996118,-0.5378532752471271,1.231563833793875
2009-02-28,-0.9289248928253169,-0.0926525284959151,-0.8598776400934871,1.0691229468855008
2009-03-31,-0.7307536017678584,-0.43557718378905985,-0.7613392036730005,0.6915975423151949
2009-04-30,-0.5661039144873453,-0.23529124371834964,-0.6584417896197764,0.7877066384273212
2009-05-31,-0.5797745374216706,-0.30727087910190354,-0.772539356874305,0.985422523470747
2009-06-30,-0.33380347161839075,0.39533160475146434,-0.7701621282373172,1.0818714996763927
2009-07-31,-0.24269156454889418,0.6286398714881514,-0.7872886309222227,1.2361200694616743
2009-08-31,0.7944143083329136,0.597174011020532,-0.5214337931004398,1.257570632288854
2009-09-30,0.8729502267270234,1.5225492857813439,-0.45624566620085516,1.3194811995034195
2009-10-31,0.8545966720065773,1.52817234005769,-0.18154909734621472,1.566458366325227
2009-11-30,0.46576565717533214,1.8707815320914896,-0.530721439100329,1.2054678555241645
2009-12-31,0.36947548825776166,2.684969070632298,-0.19009214285368448,1.244082224277715
2010-01-31,0.3564129845842673,2.7547941776305263,-0.2221535633941285,1.1972394902657113
2010-02-28,0.3327063181769063,2.7882441385120944,-0.21654171477499262,1.217083924616877
2010-03-31,0.3486608496529181,2.8507035035975266,0.08616720937747457,1.32415549472219
2010-04-30,0.28595933381151406,2.7341232693872786,-0.013057042632672045,1.225202133631309
2010-05-31,0.2010306759471281,2.5390643213275057,0.09328901246904164,1.7227433074100462
2010-06-30,0.38512204220050306,2.4026929530886836,-0.02407975330998291,1.8743122021959406
2010-07-31,0.420901875315155,2.317182764179218,-0.08747364355614073,2.0434300596904045
2010-08-31,0.736479580311411,2.2353831226037317,-0.10471365785644227,2.0318180064448965
2010-09-30,0.6130284641206546,2.177975857614381,-0.011703924533845722,1.8234050829303876
2010-10-31,0.5395954796497598,2.1601782389221973,-0.08766880754994821,1.791523921634583
2010-11-30,0.7358756111582682,3.1374690339121685,-0.10143711038151093,1.8423888125788213
2010-12-31,0.8002577729955163,2.9764120720160463,0.17380889828649826,1.7234565247323363
2011-01-31,0.5467014881029603,2.853480802588157,0.26830052115202063,2.128452350338544
2011-02-28,0.43355538152130557,2.933501212531459,0.21046242483696298,2.1784539981882247
2011-03-31,0.427823861248966,3.4597814780223004,0.2879830004611422,2.7988240596489105
2011-04-30,0.4252621455626715,3.4698639883203626,0.31861290468858383,2.7828348039398016
2011-05-31,0.42037162441134757,3.4490063291231943,0.3589408945095962,2.756048290592651
2011-06-30,0.44151081001008174,3.711292679603584,0.6479142363359558,2.869706529684002
2011-07-31,0.46569888361992495,3.7517119762870337,0.6465362359959453,2.8682502240172574
2011-08-31,0.13695993220006475,3.4335876956045146,0.44085497432344856,2.6988132849591286
2011-09-30,0.18204813587439084,4.1801732522986965,1.2237687674087838,3.5467965200450218
2011-10-31,0.058546230191941495,4.266225090568746,1.1807979656209,3.3446901382802845
2011-11-30,0.12195558452984256,3.3689443927784586,0.6128177857749523,2.537169389723322
2011-12-31,0.12047310263378908,3.3899049224220628,0.6948005510936883,2.7092765296594696
2012-01-31,0.4048000293529197,3.3449863552376335,0.6752502866553295,2.6648854522725696
2012-02-29,0.4377263960045841,3.552191633928323,0.6381167435691226,2.8159751711944208
2012-03-31,0.1086712728894157,3.6813060912367495,0.4702809105215644,2.4741483997351708
2012-04-30,0.08313938218160732,3.8130910651269168,0.6589355295226779,2.477029301199364
2012-05-31,-0.11533197876353873,3.297635593354156,0.4493895420839805,2.5358184595365056
2012-06-30,-0.13522935884743015,3.1357260493914936,0.6944719709498809,2.4226763841369126
2012-07-31,-0.0635183297841263,3.231759972352102,0.703043787045271,2.4128080543278876
2012-08-31,-0.08052834365692152,3.2582283756801416,0.7703971257291942,2.3950449062028962
2012-09-30,0.13911612258579453,3.367559221973715,0.8302595356747766,2.4886416162186316
2012-10-31,-0.02773840880984091,3.2185991443056254,0.8100973329044081,2.4884860564071327
2012-11-30,-0.24734079685043986,3.063151572732181,0.6811654288044117,2.3240013019641403
2012-12-31,-0.2940674117267117,3.3914457851347057,0.5731813700144306,2.4052223239292654
2013-01-31,-0.11888819539820628,3.2046231905597105,0.6430290721875676,2.7300395878324974
2013-02-28,0.048961364690564,3.4284176947696365,0.7009770220789024,2.934482251285299
2013-03-31,-0.0585715908165807,3.751332641525182,0.9300977307407227,2.8538470952013393
2013-04-30,0.38926510248789015,4.149302694096899,0.9441911506914757,2.791091601082797
2013-05-31,0.48972780827992723,4.0575837882143695,0.9629796343512964,2.7309646832838026
2013-06-30,0.4541045673000593,4.206037490628231,0.7110938936519484,2.661297323894754
2013-07-31,0.5885023345284235,4.196561341076829,0.6770191697176464,2.839418242324271
2013-08-31,0.5962462406384539,4.099307757024056,0.967655428136513,2.816543305876064
2013-09-30,1.0354906703138074,4.050282149707934,0.9081779235838111,2.8063968406741466
2013-10-31,1.0412827097005029,4.182676734991553,1.0865385050791598,3.068512449744315
2013-11-30,1.459817013707465,4.84900306846073,1.0631752991995231,3.2056579054853653
2013-12-31,1.40596457586363,4.942475350136618,1.1629658018759537,3.1609607541276024
2014-01-31,1.3181424417712835,4.725850280435728,1.0448486683306473,3.2456802637633397
2014-02-28,1.2512177311652302,4.955800654718098,1.0827831810071493,3.1889214658536598
2014-03-31,1.4987531583621982,4.8971191986350835,1.2141073935138054,3.8644756730596
2014-04-30,1.6826842619093119,4.909716231868161,1.2143140870667453,3.834914596388016
2014-05-31,1.6599696658535168,4.920337155364779,1.1538104788538506,3.7803165098650893
2014-06-30,2.066453292787182,4.998319858927691,1.1799981134982733,3.865871937353968
2014-07-31,1.8806340410402163,4.554038390331644,1.1239336110960507,3.5438816225010314
2014-08-31,1.5970109621171902,4.255038377182963,0.8743322783584861,3.2991614693575313
2014-09-30,1.5317658182627925,5.18701522967392,1.29663655088105,3.439820980072583
2014-10-31,2.4520921101266966,5.047843546655298,1.4020280632740467,3.4965269091843334
2014-11-30,2.4644773203551242,5.216210096932289,1.6499086412909758,3.506787910200498
2014-12-31,2.3463045321699294,5.264888954649864,1.621704995896342,3.4280682454513824
2015-01-31,0.7197788794168547,4.178143540033094,0.3808126193547201,2.1035604023463743
2015-02-28,0.6411174479550613,4.168245307008977,0.5726421269098725,2.3128515722671246
2015-03-31,0.6821343689601328,4.427889370363333,0.7814018170123727,2.437532249646464
2015-04-30,0.5701508528029114,4.291931423105718,1.565900945180196,3.7217310711220195
2015-05-31,0.547392507882194,4.473667589096911,1.7844532148007297,3.7111119052336883
2015-06-30,0.7917789345936455,4.552029952489447,1.5816964000318692,3.9001874528063833
2015-07-31,0.9263128590707825,4.555600506408722,1.8327986849384388,3.774266479872174
2015-08-31,1.1322814794775982,4.23887086981567,1.553032374711466,3.9550125047605302
2015-09-30,0.9868452393705929,4.058211195233266,1.288712766252556,4.208055494827305
2015-10-31,0.9451964171344224,4.169571269884942,1.860047971184711,4.428742738553016
2015-11-30,0.9607809607418388,4.3606980952167005,1.931834844889571,4.49043104950008
2015-12-31,0.9544022626390286,4.412083408988066,1.9738536252662668,4.497662800643676
2016-01-31,1.6363846013189383,4.106253765016307,1.794920264019309,4.508795178565879
2016-02-29,2.0427472843513454,3.8892547405935005,1.5096198140256005,4.0104777361283155
2016-03-31,2.8679547933446266,4.11255602627269,1.6435854091386677,4.494392808553008
2016-04-30,2.8711925998058914,4.108640151685902,1.6857436040196712,4.488419586393054
2016-05-31,2.9125801510722473,4.160237850097717,1.833183913216105,4.520330929025851
2016-06-30,4.0135568707712626,5.7385528780582975,1.732637279769647,4.4994973387601735
2016-07-31,3.637499928582946,5.362174847902931,1.650911098959107,4.411077405553403
2016-08-31,3.401498807875347,5.152230681455016,1.5143611679219793,4.237401405357179
2016-09-30,3.675338041205356,5.190822133252778,1.60619413458285,4.39668385411405
2016-10-31,3.2495152618233547,5.017322960480552,1.3303770688079863,4.153680458220663
2016-11-30,2.742317235160005,5.072555900134426,0.8236113844380194,3.7273192459995013
2016-12-31,3.411678456785536,5.1771957287713475,1.4042911898384718,3.662561332088822
2017-01-31,3.431008897224716,5.619896894272255,1.3686652555315204,3.606049220270266
2017-02-28,3.3239317540492417,5.515257131651924,1.1790132346069293,3.5057113630757737
2017-03-31,3.2646141665910204,5.562726966880341,1.1160013783163976,3.4789701422304504
2017-04-30,3.475534499439309,5.569640689309993,1.1359301884671131,3.4632284768287613
2017-05-31,3.1190711170363676,5.338849318125233,0.8389707690010129,3.2826491475739408
