,TCI
2013-12-31,61.49509098630722
2014-01-31,62.50474351619165
2014-02-28,62.471430220563306
2014-03-31,61.48754450285372
2014-04-30,61.23086686243399
2014-05-31,61.55553246368687
2014-06-30,61.08813430601708
2014-07-31,60.211632873650444
2014-08-31,59.84071278724483
2014-09-30,58.36641008776312
2014-10-31,57.861106086611855
2014-11-30,57.61273630036176
2014-12-31,57.752224357685066
2015-01-31,56.45000640593346
2015-02-28,56.15129540648693
2015-03-31,55.79204516118521
2015-04-30,52.84302244117005
2015-05-31,52.281635501514174
2015-06-30,52.32006108795389
2015-07-31,50.48872669645771
2015-08-31,55.361382270288644
2015-09-30,55.550013945660815
2015-10-31,56.92940417044677
2015-11-30,56.814686862480926
2015-12-31,56.7580918306988
2016-01-31,59.38943374597968
2016-02-29,58.596957986434006
2016-03-31,60.193660120867456
2016-04-30,60.12403704984138
2016-05-31,59.91144042718169
2016-06-30,57.20713206751111
2016-07-31,58.5335564115112
2016-08-31,58.28535163474644
2016-09-30,57.881840637860236
2016-10-31,56.86223829112295
2016-11-30,55.205590770471474
2016-12-31,53.8128281282963
2017-01-31,53.854612303974
2017-02-28,53.690367936117596
2017-03-31,53.50700260688552
2017-04-30,53.22425930400078
2017-05-31,53.447862123810545
2017-06-30,53.23465407904191
2017-07-31,52.758117746539334
2017-08-31,52.452424938907356
2017-09-30,51.83701290417257
2017-10-31,52.53411897374322
2017-11-30,51.43875769352129
2017-12-31,51.01812908149521
2018-01-31,50.53767886930842
2018-02-28,55.77804093564559
2018-03-31,56.64915582657486
2018-04-30,56.472170608262864
2018-05-31,55.253699979686004
2018-06-30,54.85682270375804
2018-07-31,54.28455156837998
2018-08-31,52.398617354537635
2018-09-30,49.712836898036365
2018-10-31,57.13777144832143
2018-11-30,56.37431630138376
2018-12-31,56.92934932046769
2019-01-31,56.2904079945544
2019-02-28,55.850696558844696
2019-03-31,55.53376653679959
2019-04-30,55.66092463523349
2019-05-31,56.21348008180212
2019-06-30,56.07091189950872
2019-07-31,54.494771015343325
2019-08-31,55.21147776257452
2019-09-30,55.69361210083455
2019-10-31,55.191959429000384
2019-11-30,54.68917513851615
2019-12-31,54.550995355011125
2020-01-31,55.1358218381151
2020-02-29,57.33898682982423
2020-03-31,67.34887378013076
2020-04-30,67.98656623090811
2020-05-31,66.18259242516731
2020-06-30,66.03475344815574
2020-07-31,64.66804307309096
2020-08-31,64.6465019369461
2020-09-30,64.653792119509
2020-10-31,64.03930063834267
2020-11-30,66.85321088007578
2020-12-31,67.03020147714886
2021-01-31,66.6794817293833
2021-02-28,66.72856171852506
2021-03-31,66.26764902836342
2021-04-30,65.63735568856984
2021-05-31,65.50088233516661
2021-06-30,65.3620317039414
2021-07-31,63.86369491943947
2021-08-31,63.78027366405403
2021-09-30,62.37438338576358
2021-10-31,61.746372442556336
2021-11-30,62.09362886986662
2021-12-31,62.02500549836547
2022-01-31,60.72934425425948
2022-02-28,60.43851751000109
2022-03-31,59.51824361576986
2022-04-30,59.206297201818174
2022-05-31,58.70989204376698
2022-06-30,58.17572851239944
2022-07-31,53.6857438069233
2022-08-31,53.33963524210353
2022-09-30,57.232551886902776
2022-10-31,52.06133457425557
2022-11-30,53.51529680468533
2022-12-31,52.23502156904567
2023-01-31,52.692902880009
2023-02-28,52.090972743421865
2023-03-31,51.418742459489806
2023-04-30,51.47939056511582
2023-05-31,49.61335769928373
2023-06-30,49.89900531511088
2023-07-31,50.0807117213424
2023-08-31,50.719283891429384
2023-09-30,49.75518283361538
2023-10-31,50.696218099229306
2023-11-30,51.11591961844951
2023-12-31,50.792690630866815
2024-01-31,49.1510966878936
2024-02-29,48.38320773704838
2024-03-31,48.486129785024396
2024-04-30,47.22233354025545
2024-05-31,47.362751508343656
2024-06-30,46.683151764135395
2024-07-31,46.09453292338034
2024-08-31,45.96533453035537
2024-09-30,44.09364351682915
2024-10-31,43.522185733862166
2024-11-30,41.7609932250524
2024-12-31,40.237618604104505
2025-01-31,39.15535330315991
