,S&P 500,FTSE 100,Nikkei 225,Hang Seng,NIFTY 50
1993-08-31,26.075263004306294,33.31135982387307,15.44665768903899,16.01851844983496,13.04658679445183
1993-09-30,27.138848178614484,34.39757360367681,15.430729527979281,15.770342557170846,12.295551600330779
1993-10-31,26.88615073715228,35.8255225389099,13.021073160269426,17.18327439695392,12.786966533555443
1993-11-30,30.914577811375754,34.02295291989873,19.787438563700334,19.176046355490595,15.518842007426636
1993-12-31,28.52786805540928,38.82130334052501,23.988931761279996,26.321755743790533,15.055618280856242
1994-01-31,28.759659981647655,38.41545009826298,15.763418441758592,19.963675543160054,11.74423566225775
1994-02-28,31.582775065461554,41.97256893570558,14.27127772738277,24.88783762662524,9.437795496111157
1994-03-31,34.437312113291064,47.02821043026595,13.636947675007649,33.01127176714051,5.206941249040986
1994-04-30,34.82216952657815,46.80704980758448,13.810709188219183,30.793841539668065,5.253874931795455
1994-05-31,34.460630035312,41.4446419710796,13.653718775088763,30.16187480494533,5.582712770299825
1994-06-30,35.646637249215104,41.69080444597427,13.606748214769892,30.807633297941884,5.653717453928442
1994-07-31,36.988772824841874,43.0783542753463,12.833775666590286,30.317115492479672,5.490162802394439
1994-08-31,37.56330605392987,43.812185179943306,12.840825173871162,30.37987690768562,5.360379884002198
1994-09-30,39.59199200973749,46.54325043151037,13.588571521060977,32.1269179945638,4.8005885706579825
1994-10-31,39.86715290489361,46.46657261125179,13.803686068786858,31.469521731816073,4.913072476788716
1994-11-30,43.0303585966526,42.905534320624994,15.059745397977819,34.61786682065349,4.495203543562132
1994-12-31,42.305559871206654,43.10862688904119,14.766522134964555,34.070670332788566,4.931618138143046
1995-01-31,36.3831515817436,43.96077662628141,15.00722164609629,34.69662969702575,5.489803653070413
1995-02-28,35.87261316110789,42.993258768288676,10.647999460513557,32.832182726077306,4.215890002653433
1995-03-31,35.721130619055096,41.68145396872451,10.394111722665178,32.41742293959871,3.894073045392976
1995-04-30,35.35962245028226,41.38336988855921,10.56599363032963,30.31146749663628,4.406329110093143
1995-05-31,36.10298517878806,42.08649836704463,7.39993076672405,31.43148230977807,4.408612066516316
1995-06-30,34.49689447857372,42.60087013037553,7.449268935395259,31.60976965332725,4.80666729145709
1995-07-31,35.59754135783669,44.24408281682156,9.937431332257418,29.991111567344586,5.266072235391417
1995-08-31,35.275793867279994,43.837126076755176,9.7458055488715,29.71223668103611,5.046178316413641
1995-09-30,35.44212074992418,43.62132003351091,8.621710139421346,30.356302576951233,5.235637193267317
1995-10-31,35.362984036481926,43.56631562726352,8.604102089702437,30.203322478256776,5.37160326656222
1995-11-30,36.310686439696326,43.70320738819494,9.868992100656172,28.532218135102294,6.2476330778342914
1995-12-31,36.34240671898243,43.79779050099864,9.878593552939009,28.708383323986254,6.669355631977281
1996-01-31,39.20233014230903,43.53597534541112,10.192682560677369,28.912228646997796,5.617557964129338
1996-02-29,40.00420214153261,44.03659324257746,11.218147658803435,29.586531908922197,5.91383634414081
1996-03-31,39.417750347558275,43.210615424605066,10.44554580277638,29.55382313739533,5.073056024274103
1996-04-30,39.25064787529965,42.920699424284834,10.369107414963075,28.43437358945514,4.736691406773675
1996-05-31,37.69330213864565,40.844963886219546,10.445139666735093,28.556248202512403,4.4661334289914585
1996-06-30,37.81893856146403,40.96491587003204,9.895300652139472,28.79917800854932,4.452058293346351
1996-07-31,38.48910186596704,38.41473748502627,12.59563961420913,30.856478071059236,3.60601461072092
1996-08-31,37.98964931653902,36.895719294784115,12.726304770593089,30.745218109040774,3.2806308194944567
1996-09-30,40.26122145897577,36.266754597164855,15.18861656308964,30.693498722330435,3.777755348799716
1996-10-31,39.73771722304158,36.060040555180706,13.177043718046832,30.444765849410082,3.4526253342321844
1996-11-30,40.870513973590285,34.271572447474774,14.561778810357639,30.866159988486462,4.815301563636187
1996-12-31,42.452702581908085,31.508272796655756,17.220821794505547,30.941654451805846,4.979035325155756
1997-01-31,35.08294613934893,31.806945066182855,16.077797872413235,26.91706464591299,4.3483017920114
1997-02-28,35.24833027536456,31.823579691636926,15.249047466357812,26.814503644429333,4.16763802536032
1997-03-31,36.1553389015006,30.156306522766418,15.464938808868789,29.794666547746594,3.310697609821356
1997-04-30,37.12025187545892,30.608584200314727,16.412949673706944,28.101086813519196,4.047959454641525
1997-05-31,44.479542289194896,35.296912319937704,16.374397528570718,35.28334566039205,2.3118966612915015
1997-06-30,44.21667045146709,33.471612835713636,16.847711733797933,36.00245166940774,2.2928766275772006
1997-07-31,46.76063330983581,38.163637230368565,13.030770487363164,36.84502754233686,1.8930980949689369
1997-08-31,57.16598262584771,39.21004892883614,20.387760991464965,48.12561583473123,3.880588639652538
1997-09-30,57.5972080589098,37.24122568134741,18.60551202346159,47.489182122903095,3.997803930294519
1997-10-31,57.156927618441685,50.595306698877096,22.216103453495396,57.717693721861465,4.888028493290042
1997-11-30,50.3942778581324,48.857445391441715,22.4932254923672,57.64860429886788,5.160790775012359
1997-12-31,49.95803285434132,45.07453768672238,19.1096691255914,57.00749067096734,5.352388780241668
1998-01-31,50.02557842533669,37.83195797710464,16.827549188424996,47.29886103269833,6.22094873468656
1998-02-28,53.84488459119263,40.78177148011739,14.668045078534886,53.266485476811,10.962107305376245
1998-03-31,53.71511226813139,41.988039188443885,14.502461611776551,52.01937499768496,10.901722818948922
1998-04-30,53.1480829885944,42.384841890462376,15.4288565987033,51.13231557285503,10.149558002050906
1998-05-31,54.89721390183819,43.51141347599755,14.303001771396218,53.84407358430509,12.36205979501419
1998-06-30,51.317026620481,44.26309916572411,14.184794448885496,55.716872948278464,12.967515188393152
1998-07-31,50.889868709759746,44.218256700609615,12.485144205944753,55.90406491419433,13.129727569066596
1998-08-31,66.05419842822312,60.477903881326746,26.68646733228569,48.02145025943355,15.940281410679425
1998-09-30,61.07219168394386,53.272140098812194,25.971490918172247,47.29588650753176,15.168044696610394
1998-10-31,61.815859260321545,55.7451551466404,26.637548775754105,45.83984141938353,6.394879141695775
1998-11-30,61.772607522393585,56.62236563485492,28.52412258053898,44.35534467850094,5.721299067549657
1998-12-31,59.21181548859482,56.66162985901355,26.286405031256542,43.387183382758685,6.533962738048327
1999-01-31,59.66769195001406,55.22436050114187,24.739640614567847,40.48267818069592,5.718991947828456
1999-02-28,56.64554890733856,53.07686996772729,24.845854150160708,40.81518516897965,5.90476743730205
1999-03-31,56.135441354936965,52.36274769835671,25.91488795987271,43.75510216287131,7.438294024685577
1999-04-30,55.23237421776135,53.24425279347196,27.804714728409653,43.52968504618384,3.371265532516987
1999-05-31,55.19682962877781,56.06155979580818,29.654370896180527,45.970962089911716,1.9368285304981026
1999-06-30,57.39759870352694,52.604925567204944,30.676166592294518,46.54401668108965,2.079144265672095
1999-07-31,55.999897738710104,53.18275054238326,29.40058215812167,47.16362356599526,1.6235675748675793
1999-08-31,55.69924277452508,53.11287482764138,29.574675553985774,46.85129066989895,1.4716816670850341
1999-09-30,56.526797991921086,53.57349132374173,27.311199033118484,47.68635692569212,1.4375586521538475
1999-10-31,56.177869998180974,54.88611726223368,27.731592161370767,47.1442756445075,1.1236265574056103
1999-11-30,53.89511407396396,56.40497313044386,29.006574958995635,48.84463611913058,1.056403242087478
1999-12-31,55.24592164036293,57.42985665390153,29.024246987530432,50.64849063867458,1.1576446898343251
2000-01-31,56.88120201130991,54.78764175537435,22.155114996722848,51.50541681911604,1.0369178536202561
2000-02-29,54.47485429196178,54.16539339577703,21.938666623971535,50.083376828901926,1.1583765049820949
2000-03-31,53.23541419396969,56.11534204793227,21.635819214842666,45.87954093500376,1.4923837954983643
2000-04-30,54.257937063927656,56.834722260609325,26.415968212542772,49.23995131190046,2.1141821848785214
2000-05-31,55.53669078426753,55.28279572736802,28.332246381371938,50.99255597512502,2.3019864847963256
2000-06-30,55.41928361038495,52.34822090335395,28.370104467781722,51.10189018633545,3.1963972442152877
2000-07-31,55.9507026027964,51.61731810249508,29.153606742013103,47.338723860125086,4.745575292604675
2000-08-31,56.86201609654608,52.174292988588945,30.639014179000434,45.7760716295866,4.8929148470908785
2000-09-30,59.52784161350076,53.468466858441275,33.87591375342818,47.7348618865148,6.265916996085807
2000-10-31,60.17142292798504,50.415176760076655,36.604429950292605,50.03127423228546,8.41529833044613
2000-11-30,57.46884126667589,53.26112609697462,32.136678791222685,49.52995778148765,7.403724405448098
2000-12-31,57.58139784745261,53.406834362070946,31.26042553526086,48.251615692560115,7.4799856117985115
2001-01-31,57.719331346138404,53.03169926679998,30.943424791342423,48.619701945334604,7.652143937861478
2001-02-28,61.32381024181613,55.801761490543235,34.3206893436145,50.47880095848936,7.537754096174954
2001-03-31,65.10334137435486,57.74833788603129,26.132991564321017,58.80386057858738,11.141977810654657
2001-04-30,66.8985333381398,59.46947289315306,28.25552186314979,57.536076005077476,10.357954546786718
2001-05-31,66.52282661434757,59.46460415578987,28.356580073347683,57.502768964378824,9.956019779550374
2001-06-30,67.13622819920016,59.86810694403718,28.519808230642607,57.56265086198451,10.51833750014236
2001-07-31,67.02903390786481,60.700105473514945,30.679485240566574,59.19666569373353,11.145261353229053
2001-08-31,69.31356324920901,61.525430648643756,34.4635376296652,61.73985169359,10.290990269467759
2001-09-30,73.8090646593567,66.4260649415638,40.346979220727086,64.93687534176938,16.34446926890778
2001-10-31,72.14370789019317,66.22541169262178,40.723597305053325,63.077538406903244,17.408719913445413
2001-11-30,73.71614918683788,65.9718000431234,42.10480768311673,65.04887842857995,20.040555914659908
2001-12-31,73.59929957459204,65.90739308510774,42.062471779935365,64.93386615411103,19.99303744687748
2002-01-31,73.81985547059597,65.95069659434931,42.50618979468058,65.15350482131285,18.936945370344517
2002-02-28,72.00294246989829,65.31690092102924,40.183607752267356,64.24758054685358,18.817350497657937
2002-03-31,72.29405733620887,65.75566054158867,40.56257577334147,64.29023778936663,17.997206473284024
2002-04-30,67.79429183525697,66.32488346814452,36.52671795179937,61.97859439618507,18.070649534792683
2002-05-31,68.55469095590807,66.89024592011965,34.217552381580504,62.35444119089777,18.523571667474393
2002-06-30,70.04368006126069,68.51637224035272,38.119817774471045,62.11369753498606,14.034619536476189
2002-07-31,73.2473086474353,71.31648330839978,41.62984573550461,60.48967569557436,17.47453217288355
2002-08-31,72.68219552901228,70.64828236520825,41.20155962762303,59.57464843528588,16.160606839790226
2002-09-30,74.51176071846474,71.02163764333169,36.93158829378047,62.469070847481845,17.275270484586112
2002-10-31,73.03316736632893,67.77592908777758,29.295696762752634,62.55930590264009,17.590224767990815
2002-11-30,74.90644334354783,68.51070193666817,31.682837706228064,64.71687244354258,20.656208586759107
2002-12-31,75.61862136720852,69.55102321204843,33.32310439481808,65.97029850360336,16.795010899092443
2003-01-31,76.02432022629226,67.27071494027054,33.60948463343176,65.43548834488789,17.48278630478608
2003-02-28,74.57227958868512,66.43649397496165,33.39917970700507,64.4041984981231,17.65545650639295
2003-03-31,73.03392965369054,65.84092762213858,34.52622099108128,65.23888044732031,18.947332339661216
2003-04-30,71.91993836398602,64.28250195489713,33.89275803290358,64.7457028920255,16.867307643976748
2003-05-31,73.30659846302765,64.7453382921101,36.56666202738626,66.58682621299296,18.893613760298678
2003-06-30,73.61575561224903,64.02946298888683,37.41639041386089,65.0877287910681,20.464980635472863
2003-07-31,72.93185856841069,64.57310998798349,39.18600745493712,65.76530585469933,21.69797083907702
2003-08-31,71.65118997182392,62.72719294224793,41.83747060462528,67.09690163260376,24.45065402208848
2003-09-30,71.56703413244429,62.61114398525762,41.94348927419947,67.02710410744506,24.210824174153355
